SILO_1_Ash%,SILO_3_Ash%,SILO_4_Ash%,SILO_5_Ash%,SILO_1_CSN,SILO_3_CSN,SILO_4_CSN,SILO_5_CSN,SILO_1_F.C.%,SILO_3_F.C.%,SILO_4_F.C.%,SILO_5_F.C.%,SILO_1_GM%,SILO_3_GM%,SILO_4_GM%,SILO_5_GM%,SILO_1_I.M.%,SILO_3_I.M.%,SILO_4_I.M.%,SILO_5_I.M.%,SILO_1_V.M.%,SILO_3_V.M.%,SILO_4_V.M.%,SILO_5_V.M.%,SILO_2_Ash%,SILO_2_CSN,SILO_2_F.C.%,SILO_2_GM%,SILO_2_I.M.%,SILO_2_V.M.%,SILO_1_DISCHARGE,SILO_2_DISCHARGE,SILO_3_DISCHARGE,SILO_4_DISCHARGE,SILO_5_DISCHARGE,BLEND_GM%,BLEND_Ash%,BLEND_I.M.%,BLEND_V.M.%,BLEND_F.C.%,BLEND_CSN
13.4,7.69,10.7,10.0,6.0,7.5,8.5,1.0,59.81999999999999,59.48,65.00999999999999,68.5,9.999999999999988,8.080808080808065,8.247422680412356,10.447761194029844,0.98,1.03,0.69,1.0,25.8,31.8,23.6,20.5,7.51,7.5,68.98,10.576923076923064,0.71,22.8,29.9,6.1,23.0,21.0,20.0,9.62,9.23,0.88,24.4,65.49000000000001,5.0
8.9,7.69,10.3,9.95,7.5,7.5,8.5,1.0,67.07999999999998,59.55,65.41999999999999,69.01999999999998,9.8360655737705,9.836065573770504,8.974358974358982,10.526315789473664,0.62,0.86,0.68,0.93,23.4,31.9,23.6,20.1,7.92,8.0,68.65,9.374999999999943,0.63,22.8,20.0,15.0,23.0,21.0,21.0,8.064516129032263,9.29,0.9,24.5,65.31,5.0
10.92,8.09,10.41,9.9,7.0,7.0,9.0,1.0,64.74,58.19,65.05000000000001,69.38999999999999,6.94,9.52,8.96,10.29,0.62,0.63,0.72,0.59,23.72,33.09,23.82,20.12,7.85,8.0,68.42000000000002,8.7,0.69,23.04,20.0,15.0,23.0,21.0,21.0,8.45,9.28,0.72,24.72,65.28,5.0
10.2,7.76,10.4,9.42,7.5,7.0,9.0,1.0,66.53999999999999,58.85999999999999,65.49000000000001,69.6,7.920792079207906,10.89108910891088,8.69565217391305,11.76470588235293,0.66,0.98,0.71,0.88,22.6,32.4,23.4,20.1,7.79,8.0,69.0,10.869565217391312,0.71,22.5,20.0,15.0,23.0,21.0,21.0,8.6,9.23,0.99,24.2,65.58,5.0
8.66,7.2,10.1,9.57,8.5,7.5,8.5,1.0,67.6,59.18,65.72,69.51,8.510638297872346,7.317073170731714,8.860759493670892,9.999999999999986,0.64,1.22,0.68,0.92,23.1,32.4,23.5,20.0,8.04,7.5,69.09,9.78260869565218,0.67,22.2,12.0,23.0,23.0,21.0,21.0,8.57,9.06,0.81,24.1,66.03,5.0
9.73,8.1,11.0,10.4,7.0,7.0,9.0,1.0,66.41,59.26,65.10000000000001,68.75,7.23,7.69,9.59,9.2,0.56,1.04,0.6,0.85,23.3,31.6,23.3,20.0,7.45,7.5,69.53,9.57,0.62,22.4,12.1,23.0,23.0,21.0,21.0,9.09,9.32,0.87,24.9,64.91,5.0
9.12,8.83,10.15,9.45,8.0,7.5,8.5,1.0,66.94,57.53,65.31,69.63,6.41,11.76,9.59,10.96,0.62,0.92,0.66,0.72,23.32,32.72,23.88,20.2,7.66,8.0,67.64,9.33,0.48,24.22,12.1,23.0,23.0,21.0,21.0,8.05,9.45,0.83,24.92,64.8,4.5
9.2,9.65,9.95,9.21,8.0,7.5,9.0,1.0,66.82,57.78999999999999,65.44,70.33,8.474576271186447,8.860759493670892,11.1111111111111,11.11111111111112,0.56,0.86,0.81,1.16,23.42,31.7,23.8,19.3,7.64,8.0,68.82,8.928571428571416,0.84,22.7,12.1,23.0,23.0,21.0,21.0,8.82,9.34,0.85,24.2,65.61,5.0
9.3,8.15,10.5,9.55,7.0,8.0,9.0,1.0,67.52,58.88999999999999,65.47,69.47,6.33,7.89,8.82,9.86,0.68,1.06,0.73,1.08,22.5,31.9,23.3,19.9,7.67,8.0,69.09,8.33,0.74,22.5,12.1,23.0,22.8,21.1,21.1,8.47,9.49,0.92,24.0,65.59,4.5
9.65,9.41,10.3,10.1,8.0,7.5,9.0,1.0,67.06,58.12,65.65,69.53999999999999,8.33,10.0,10.1,10.26,0.49,0.87,0.55,0.76,22.8,31.6,23.5,19.6,8.22,8.5,68.65,7.78,0.53,22.6,12.1,23.0,22.8,21.1,21.1,9.52,9.31,0.73,24.1,65.85999999999999,4.5
